state;action_reward;n_state
1541&0|6924&0|13470&0|1541&0|3678&0|10764&0|4710&0|13489&0|13485&0|1603&0|10992&0|277&0;5593&0|13486&0|13494&0|1677&0;1541&0|6924&0|13470&0|1541&0|3678&0|10764&0|4710&0|13489&0|13485&0|1603&0|10992&0|277&0|5593&0|13486&0|13494&0|1677&0
3823&0|2984&0|23908&0|3049&0|2001&0|3386&0|10364&0|3041&0|6832&0|4712&0|5281&0|23909&0;5098&0|5033&0|4924&0|4857&0;3823&0|2984&0|23908&0|3049&0|2001&0|3386&0|10364&0|3041&0|6832&0|4712&0|5281&0|23909&0|5098&0|5033&0|4924&0|4857&0
1931&0|549&0|7255&0|7430&0|5980&1|2028&0|7618&0|5036&0|5622&0|2001&0|916&0|16003&0;5774&0|32516&0|32517&0|7818&0;1931&0|549&0|7255&0|7430&0|5980&1|2028&0|7618&0|5036&0|5622&0|2001&0|916&0|16003&0|5774&0|32516&0|32517&0|7818&0
7823&0|6249&0|2080&0|10694&0|10647&0|10650&0|10695&0|9292&0|10685&0|3485&0|1429&0|1942&0;10693&0|10687&0|6076&0|1974&0;7823&0|6249&0|2080&0|10694&0|10647&0|10650&0|10695&0|9292&0|10685&0|3485&0|1429&0|1942&0|10693&0|10687&0|6076&0|1974&0
1853&0|3025&0|3139&0|1936&0|23483&0|6016&0|4740&0|11410&0|11969&0|3712&0|11872&1|2960&0;4874&0|126&0|18877&0|6124&0;1853&0|3025&0|3139&0|1936&0|23483&0|6016&0|4740&0|11410&0|11969&0|3712&0|11872&1|2960&0|4874&0|126&0|18877&0|6124&0
1139&0|32538&0|534&0|8843&0|29771&0|12533&0|2952&0|7905&0|12349&0|14614&0|14637&0|20563&0;874&0|8178&0|12522&0|8182&0;1139&0|32538&0|534&0|8843&0|29771&0|12533&0|2952&0|7905&0|12349&0|14614&0|14637&0|20563&0|874&0|8178&0|12522&0|8182&0
1262&0|602&0|9952&0|2038&0|20841&0|1210&0|1256&0|20856&0|9537&0|20819&0|3941&0|5307&0;827&0|2122&0|6967&0|2422&0;1262&0|602&0|9952&0|2038&0|20841&0|1210&0|1256&0|20856&0|9537&0|20819&0|3941&0|5307&0|827&0|2122&0|6967&0|2422&0
5609&0|5317&0|6339&0|6329&0|1867&0|6345&0|1210&0|5645&0|3799&0|1293&0|1426&0|2264&0;1678&0|1541&0|1434&0|6385&0;5609&0|5317&0|6339&0|6329&0|1867&0|6345&0|1210&0|5645&0|3799&0|1293&0|1426&0|2264&0|1678&0|1541&0|1434&0|6385&0
7491&0|2986&0|16598&0|27986&0|27979&0|8999&1|125&0|7786&1|27988&0|16606&0|14262&0|14564&0;21681&0|27976&1|19734&0|4913&0;7491&0|2986&0|16598&0|27986&0|27979&0|8999&1|125&0|7786&1|27988&0|16606&0|14262&0|14564&0|21681&0|27976&1|19734&0|4913&0
3024&0|1293&0|5259&0|8831&0|4721&0|12614&0|6839&1|19949&0|10728&0|23989&0|6786&0|7142&0;5092&0|3208&0|5491&0|29306&0;3024&0|1293&0|5259&0|8831&0|4721&0|12614&0|6839&1|19949&0|10728&0|23989&0|6786&0|7142&0|5092&0|3208&0|5491&0|29306&0
16265&0|4715&0|8056&0|6849&0|7205&0|16359&0|29734&0|25647&0|29680&0|29752&0|9588&0|12258&0;29803&0|29851&0|6647&0|29799&0;16265&0|4715&0|8056&0|6849&0|7205&0|16359&0|29734&0|25647&0|29680&0|29752&0|9588&0|12258&0|29803&0|29851&0|6647&0|29799&0
7380&0|4750&0|7314&0|2720&0|7274&1|7376&0|7461&0|1808&0|7446&0|7573&0|7579&0|4525&0;90&0|7547&0|7604&0|4962&0;7380&0|4750&0|7314&0|2720&0|7274&1|7376&0|7461&0|1808&0|7446&0|7573&0|7579&0|4525&0|90&0|7547&0|7604&0|4962&0
5468&0|5423&0|5642&0|5640&0|3032&0|5397&0|5313&0|5567&0|1431&0|5494&0|5646&0|5263&0;5601&0|5617&0|5721&0|5700&0;5468&0|5423&0|5642&0|5640&0|3032&0|5397&0|5313&0|5567&0|1431&0|5494&0|5646&0|5263&0|5601&0|5617&0|5721&0|5700&0
449&0|10854&0|6024&0|13759&0|6227&0|9669&0|13730&0|13207&0|6739&0|13738&0|5952&0|5976&0;8586&0|3785&0|13817&0|867&0;449&0|10854&0|6024&0|13759&0|6227&0|9669&0|13730&0|13207&0|6739&0|13738&0|5952&0|5976&0|8586&0|3785&0|13817&0|867&0
11894&0|11948&0|2188&0|6245&0|3051&0|7791&0|11991&0|3811&0|12078&0|4908&0|12100&0|11412&0;2033&0|4434&0|12133&0|4896&0;11894&0|11948&0|2188&0|6245&0|3051&0|7791&0|11991&0|3811&0|12078&0|4908&0|12100&0|11412&0|2033&0|4434&0|12133&0|4896&0
